restaurant_name,num_pages_to_scrap
A&W,5
BeaverTails,1
Big Smoke Burger,1
Bob Likes Thai Food,1
Boiling Point,1
Boston Pizza,2
Browns Crafthouse,1
Bubble World,1
Burger King,2
Burgoo,1
C-Lovers Fish & Chips,1
CRAFT Beer Market,1
Cactus Club Cafe,1
Canadian 2 For 1 Pizza,1
Carl's Jr.,1
Chef Hung Taiwanese Beef Noodle,1
Chopped Leaf,1
Church's Chicken,1
Dairy Queen,3
Denny's,1
Domino's Pizza,2
Earls Kitchen + Bar,1
Edo Japan,1
Fiore,1
Freshii,3
Freshslice Pizza,3
Guu,1
Gyu-Kaku Japanese BBQ,1
Happy Lamb Hot Pork,1
Happy Tree House BBQ,1
Hon's Wonton House,1
Honolulu Coffee,1
Hubbub,1
IHOP,1
JJ Bean Coffee Roasters,1
JOEY,1
KFC,2
Kafka's Coffee,1
Kirin Restaurant,1
Kokomo,1
La Taqueria Pinche Taco,1
Little Caesars,1
Liuyishou Hotpot,1
McDonald's,6
Midam Cafe,1
Milestones,1
Moxie's Grill & Bar,1
Mr.Greek,1
Nando's,1
New York Fries,1
Nook,1
Nuba,1
OPA! of Greece,1
Panago Pizza,2
Papa John's Pizza,1
Peaceful Restaurant,1
Peaked Pies,1
Pho 99,1
Pizza Garden,1
Pizza Hut,3
Popeyes Kitchen,1
Rogue Kitchen & WetBar,1
Shizenya,1
Starbucks,10
Steve's Poke Bar,1
Subway,10
Sura,1
Sushi Garden,1
Taco bell,1
Thai Express,1
The Boathouse,1
The Captain's Boil,1
The Flying Pig,1
The Keg Steakhouse + Bar,1
The Meat Up,1
The Old Spaghetti Factory,1
Tim Hortons,9
Togo Sushi,1
Triple O's,2
Uncle Fatih's Piazza,1
Vera's Burger Shack,1
WINGS,1
Wendy's,2
White Spot,2
Zubu,1
