name,address,rating,review_count
Thai Express,Centre 2929 Barnet Hwy,2.6,55
Thai Express,4820 Kingsway,2.8,70
Thai Express,10153 King George Blvd,3.1,32
Thai Express,10355 152 St,3.3,32
Thai Express,200 Burrard St FC-04,3.6,44
Thai Express,W Harbour Centre Complex 555 W Hastings St,2.7,22
Thai Express,CF Pacific Centre 701 W Georgia St,3.7,111
Thai Express,CF Richmond Centre 6551 No. 3 Rd,3.4,93
Thai Express,Shopping Centre 19705 Fraser Hwy,3.6,39
Thai Chef,3355 North Rd,4.0,222
Thai Express,Sevenoaks Shopping Centre 32900 S Fraser Way,3.9,30
Thai Express,9855 Austin Ave,2.3,24
